出发机场,到达机场,航班编号,飞机编号,计划飞行时间,计划起飞时刻,航班月份,计划到达时刻,前序延误,起飞间隔,到达特情,出发特情,出发天气,出发气温,到达天气,到达气温,航空公司,航班性质,飞机延误目标
351,74,21481,2543,3.3333333,11,5,14,0.45842848,4.520488547,0,0,85,0,16,0,99,1,1
160,147,16146,7889,2.1666667,4,5,7,0.45842848,4.520488547,0,0,62,0,62,0,67,1,1
153,147,13046,26195,2.0833333,13,8,15,0.45842848,4.520488547,1,0,17,0,2,0,60,0,0
1,230,11585,123845,0.6666667,6,10,6,0.45842848,4.520488547,0,0,82,0,16,0,57,0,0
226,222,11842,120685,1.25,14,9,15,0.45842848,4.520488547,0,0,16,0,5,0,57,0,0
295,348,17369,9029,2,13,6,15,0.45842848,4.520488547,0,0,17,0,22,0,83,1,1
226,149,11625,128642,2.25,11,10,13,0.45842848,4.520488547,0,0,25,0,99,0,57,0,0
101,72,17399,10291,2.25,1,6,3,0.45842848,4.520488547,0,0,16,0,24,0,83,1,1
397,428,9226,82343,1,16,1,17,0.45842848,4.520488547,0,0,21,1,14,0,37,0,0
425,315,9274,118783,2.25,16,9,18,0.45842848,4.520488547,1,1,100,0,28,0,37,0,0
50,117,2321,86173,1.75,2,2,4,0.45842848,4.520488547,0,0,0,0,0,0,15,1,0
1,230,11696,131841,0.6666667,8,11,9,0.45842848,4.520488547,0,0,16,0,16,0,57,0,0
11,109,17273,85395,1.5,20,2,22,0.45842848,4.520488547,0,0,0,0,0,0,82,1,0
260,48,6255,7852,3.5,2,5,5,0.45842848,4.520488547,0,0,50,0,117,0,37,1,1
414,360,15354,7367,2.4166667,2,5,4,0.45842848,4.520488547,0,0,20,0,16,0,67,1,1
295,48,2434,120689,2.25,15,9,17,0.45842848,4.520488547,0,0,96,0,62,0,20,1,0
332,417,14407,2857,2,23,5,1,0.45842848,4.520488547,0,0,25,0,95,0,66,1,1
68,63,9379,9268,1.3333334,7,6,8,0.45842848,4.520488547,0,0,31,0,96,0,37,1,1
47,300,6002,3761,1.1666666,11,5,12,0.45842848,4.520488547,0,0,124,0,97,0,37,1,1
431,157,11994,1993,0.5833333,6,5,7,0.45842848,4.520488547,0,0,0,0,44,0,57,1,1
1,230,11581,127850,0.6666667,6,10,6,0.45842848,4.520488547,0,0,90,0,98,0,57,0,0
27,230,11686,123340,0.5,2,9,2,0.45842848,4.520488547,0,0,82,0,82,0,57,0,0
47,388,9005,9971,5.3333335,2,6,7,0.45842848,4.520488547,0,0,93,0,62,0,37,1,1
62,412,23837,7167,1,6,5,7,0.45842848,4.520488547,0,0,82,0,0,0,116,1,1
115,230,18993,8184,2.25,11,5,13,0.45842848,4.520488547,0,0,95,0,95,0,91,1,1
92,197,22423,6765,1,3,5,4,0.45842848,4.520488547,0,0,16,0,0,0,99,1,1
160,416,16146,4464,4.6666665,4,5,9,0.45842848,4.520488547,0,0,20,0,85,0,67,1,1
26,204,24437,86129,1.8333334,11,2,13,0.45842848,4.520488547,0,0,0,0,0,0,127,1,0
68,445,2717,6281,1.5833334,9,5,11,0.45842848,4.520488547,0,0,82,0,24,0,28,1,1
24,55,16678,10449,1.5,6,6,8,0.45842848,4.520488547,0,0,64,0,16,0,73,1,1
320,74,3240,6391,2.9166667,0,5,2,0.45842848,4.520488547,0,0,62,0,25,0,32,1,1
424,92,7588,75255,4,16,1,20,0.45842848,4.520488547,0,0,95,0,126,0,37,0,0
106,315,8428,5768,2.3333333,13,5,16,0.45842848,4.520488547,0,0,20,0,62,0,37,1,1
373,417,19098,5183,2.25,2,5,4,0.45842848,4.520488547,0,0,62,0,35,0,91,1,1
61,127,2828,84720,1.0833334,4,2,5,0.45842848,4.520488547,0,0,0,0,0,0,31,1,0
226,297,11628,120318,2.25,6,9,8,0.45842848,4.520488547,0,0,16,0,1,0,57,0,0
423,405,16164,2649,2.5833333,0,5,3,0.45842848,4.520488547,0,0,99,0,95,0,67,1,1
380,63,11661,132097,1.5,5,11,6,0.45842848,4.520488547,0,0,16,0,24,0,57,0,0
190,63,11696,128708,0.75,2,10,3,0.45842848,4.520488547,0,0,0,0,49,0,57,0,0
226,369,11686,124588,0.5833333,3,10,3,0.45842848,4.520488547,0,0,89,0,62,0,57,0,0
419,363,712,2379,2.1666667,1,5,3,0.45842848,4.520488547,0,0,0,0,103,0,1,1,1
332,118,21630,35636,1.8333334,0,9,2,0.45842848,4.520488547,0,0,17,0,97,0,99,1,0
368,416,15021,6056,3.0833333,11,5,14,0.45842848,4.520488547,0,0,16,0,62,0,67,1,1
370,74,27349,8614,2.6666667,13,6,16,0.45842848,4.520488547,0,0,95,0,16,0,164,1,1
226,149,11626,127377,2.3333333,5,10,8,0.45842848,4.520488547,0,0,82,0,49,0,57,0,0
397,417,18626,24412,5.5,16,7,21,0.45842848,4.520488547,0,0,22,0,9,0,91,0,0
299,363,24030,24672,2.3333333,16,7,18,0.45842848,4.520488547,0,0,2,0,75,0,116,0,0
190,63,11696,123343,0.75,2,9,3,0.45842848,4.520488547,0,0,0,0,85,0,57,0,0
1,230,11625,129947,0.6666667,9,10,9,0.45842848,4.520488547,0,0,42,0,42,0,57,0,0
226,118,11694,132778,2,8,11,10,0.45842848,4.520488547,0,0,87,0,24,0,57,0,0
27,230,11694,117560,0.5,2,9,2,0.45842848,4.520488547,0,0,5,0,95,0,57,0,0
136,315,5604,5824,3.75,0,5,4,0.45842848,4.520488547,0,0,119,0,64,0,37,1,1
414,63,711,6842,1.5833334,6,5,8,0.45842848,4.520488547,0,0,45,0,82,0,1,1,1
226,323,11582,129284,2.5833333,9,10,11,0.45842848,4.520488547,1,0,85,0,37,0,57,0,0
320,72,18411,13575,2.0833333,17,6,19,0.45842848,4.520488547,0,1,117,0,16,0,91,0,0
217,293,811,9477,3.1666667,23,6,2,0.45842848,4.520488547,0,0,64,0,87,0,1,1,1
389,55,12976,8824,1.5,4,6,6,0.45842848,4.520488547,0,0,62,0,24,0,60,1,1
226,297,11628,126166,2.25,6,10,8,0.45842848,4.520488547,0,1,49,0,82,0,57,0,0
226,118,11585,125975,2.1666667,8,10,10,0.45842848,4.520488547,0,0,42,0,9,0,57,0,0
226,315,11581,119646,2.9166667,8,9,11,0.45842848,4.520488547,0,0,16,0,22,0,57,0,0
299,63,23842,99255,2.25,21,5,0,0.45842848,4.520488547,0,0,28,0,16,0,116,0,0
226,315,11631,120652,2.9166667,11,9,14,0.45842848,4.520488547,0,0,16,0,20,0,57,0,0
226,55,11663,127176,2.0833333,5,10,7,0.45842848,4.520488547,0,0,87,0,62,0,57,0,0
55,210,23860,1659,1.8333334,3,5,4,0.45842848,4.520488547,0,0,95,0,85,0,116,1,1
226,55,11663,118874,2.0833333,5,9,7,0.45842848,4.520488547,0,0,22,0,62,0,57,0,0
423,388,426,755,3.25,9,5,12,0.45842848,4.520488547,0,0,64,0,62,0,1,1,1
332,139,15138,4255,2.8333333,9,5,12,0.45842848,4.520488547,0,0,16,0,119,0,67,1,1
217,363,1518,1692,2.0833333,5,5,7,0.45842848,4.520488547,0,0,62,0,16,0,6,1,1
90,55,15694,1379,1.9166666,0,5,2,0.45842848,4.520488547,0,0,62,0,16,0,67,1,1
433,388,2377,129967,1.1666666,9,10,11,0.45842848,4.520488547,0,0,64,0,62,0,20,1,0
190,63,11696,121470,0.75,2,9,3,0.45842848,4.520488547,0,0,0,0,85,0,57,0,0
289,390,17593,2382,1.4166666,1,5,3,0.45842848,4.520488547,0,0,87,0,66,0,83,1,1
299,344,8397,27547,2,17,8,19,0.45842848,4.520488547,0,0,16,0,11,0,37,1,0
1,230,11577,123179,0.6666667,6,9,6,0.45842848,4.520488547,0,0,82,0,82,0,57,0,0
397,428,2373,119119,1.1666666,6,9,7,0.45842848,4.520488547,0,0,62,0,100,0,20,1,0
217,416,12866,25555,2.0833333,18,7,20,0.45842848,4.520488547,1,0,96,0,64,0,60,0,0
226,315,11631,125352,2.9166667,11,10,14,0.45842848,4.520488547,0,0,24,0,44,0,57,0,0
160,147,16146,5919,2.1666667,4,5,7,0.45842848,4.520488547,0,0,62,0,22,0,67,1,1
47,148,6903,8498,2,8,6,10,0.45842848,4.520488547,0,0,125,0,43,0,37,1,1
226,360,12778,25924,1.75,16,7,18,0.45842848,4.520488547,0,1,95,0,95,0,60,0,0
47,417,18668,10282,1,1,6,2,0.45842848,4.520488547,0,0,117,0,95,0,91,1,1
60,48,6686,12121,2.25,16,6,18,0.45842848,4.520488547,0,0,22,0,117,0,37,1,0
226,407,11935,127946,1.5833334,15,10,16,0.45842848,4.520488547,0,0,98,0,42,0,57,0,0
1,230,11624,121818,0.6666667,9,9,9,0.45842848,4.520488547,0,0,82,0,16,0,57,0,0
459,74,19688,3888,2.3333333,2,5,4,0.45842848,4.520488547,0,0,16,0,97,0,99,1,1
62,315,3280,268,2.6666667,13,5,15,0.45842848,4.520488547,0,0,89,0,42,0,32,1,1
351,118,19139,3038,1.4166666,14,5,15,0.45842848,4.520488547,1,1,5,0,95,0,91,1,1
1,230,11627,120862,0.6666667,9,9,9,0.45842848,4.520488547,0,0,24,0,16,0,57,0,0
70,256,25599,109768,2,22,7,0,0.45842848,4.520488547,0,0,96,0,52,0,140,0,0
226,24,11637,127250,0.5,11,10,12,0.45842848,4.520488547,0,1,87,0,42,0,57,0,0
226,369,11686,119816,0.5833333,3,9,3,0.45842848,4.520488547,0,0,16,0,16,0,57,0,0
454,48,5985,1797,1,12,5,13,0.45842848,4.520488547,1,0,97,0,117,0,37,1,1
1,230,11636,129951,0.6666667,9,10,9,0.45842848,4.520488547,0,0,42,0,42,0,57,0,0
1,230,11637,125765,0.6666667,9,10,9,0.45842848,4.520488547,0,0,42,0,87,0,57,0,0
419,63,23838,7151,1,5,5,6,0.45842848,4.520488547,0,0,0,0,82,0,116,1,1
192,407,711,6786,1.5,4,5,6,0.45842848,4.520488547,0,0,0,0,45,0,1,1,1
299,72,5054,8320,1.5,2,6,3,0.45842848,4.520488547,0,0,20,0,102,0,32,1,1
383,416,16243,9411,1.9166666,13,6,14,0.45842848,4.520488547,0,0,16,0,42,0,73,1,1
226,405,11892,114833,2.0833333,5,8,7,0.45842848,4.520488547,0,0,16,0,62,0,57,1,0
370,230,6628,7035,1.8333334,23,5,1,0.45842848,4.520488547,0,0,125,0,90,0,37,1,1
351,417,21720,6597,1.5833334,10,5,12,0.45842848,4.520488547,0,0,22,0,95,0,99,1,1
383,48,6690,42771,2.5,16,9,18,0.45842848,4.520488547,1,0,62,0,117,0,37,0,0
47,417,6724,342,1.1666666,23,5,0,0.45842848,4.520488547,0,0,28,0,125,0,37,1,1
226,405,11632,128567,2.1666667,6,10,8,0.45842848,4.520488547,0,0,25,0,82,0,57,0,0
226,149,11625,126232,2.25,11,10,13,0.45842848,4.520488547,0,0,49,0,82,0,57,0,0
68,63,9379,9715,1.3333334,7,6,8,0.45842848,4.520488547,0,0,50,0,97,0,37,1,1
136,388,16772,9913,7.4166665,22,6,5,0.45842848,4.520488547,0,0,119,0,62,0,73,1,1
393,256,25576,10896,4.75,8,6,13,0.45842848,4.520488547,0,0,122,0,85,0,140,1,1
226,28,11872,115705,1.25,9,8,10,0.45842848,4.520488547,0,0,16,0,95,0,57,1,0
352,366,16129,5567,1.4166666,11,5,13,0.45842848,4.520488547,0,0,62,0,64,0,67,1,1
47,149,15365,2913,2.0833333,3,5,5,0.45842848,4.520488547,0,0,33,0,33,0,67,1,1
50,10,17270,85432,1.4166666,2,2,3,0.45842848,4.520488547,0,0,0,0,0,0,82,1,0
232,15,10687,85912,6,5,2,11,0.45842848,4.520488547,0,0,0,0,0,0,49,2,0
151,347,5363,86202,3.9166667,6,2,10,0.45842848,4.520488547,0,0,0,0,0,0,36,2,0
226,1,11723,120338,0.75,7,9,8,0.45842848,4.520488547,1,0,16,0,82,0,57,0,0
47,315,5611,1649,3.25,2,5,5,0.45842848,4.520488547,0,0,117,0,20,0,37,1,1
89,63,9342,16973,1.6666666,9,6,11,0.45842848,4.520488547,0,0,0,0,16,0,37,1,0
389,72,2643,1835,2.4166667,23,5,1,0.45842848,4.520488547,0,0,90,0,19,0,28,1,1
422,113,12747,1198,0.6666667,3,5,4,0.45842848,4.520488547,0,0,64,0,0,0,60,1,1
22,147,2563,16121,1.6666666,0,6,2,0.45842848,4.520488547,0,0,0,0,42,0,28,1,0
1,230,11586,128775,0.6666667,6,10,6,0.45842848,4.520488547,0,0,16,0,25,0,57,0,0
190,63,11697,128933,0.75,2,10,3,0.45842848,4.520488547,0,0,0,0,42,0,57,0,0
55,222,22060,8213,2.5,14,5,16,0.45842848,4.520488547,0,0,24,0,22,0,99,1,1
62,363,11701,121765,2,6,9,8,0.45842848,4.520488547,0,0,24,0,16,0,57,0,0
320,344,7411,6194,1.5,4,5,6,0.45842848,4.520488547,0,0,82,0,62,0,37,1,1
377,230,11728,123147,0.5833333,4,9,5,0.45842848,4.520488547,0,0,82,0,82,0,57,0,0
144,55,16867,10425,1.5,6,6,7,0.45842848,4.520488547,0,0,22,0,16,0,73,1,1
370,163,10364,3305,4.0833335,22,5,2,0.45842848,4.520488547,0,0,16,0,97,0,44,1,0
352,366,18032,17179,2,7,6,9,0.45842848,4.520488547,0,0,22,0,16,0,88,2,0
27,230,11581,132305,0.5,1,11,1,0.45842848,4.520488547,0,0,24,0,82,0,57,0,0
368,55,16043,9524,2.9166667,0,6,3,0.45842848,4.520488547,0,0,16,0,100,0,67,1,1
424,315,3845,248,2.9166667,12,5,15,0.45842848,4.520488547,0,0,82,0,42,0,32,1,1
70,256,25671,13581,1.75,22,6,23,0.45842848,4.520488547,0,0,90,0,16,0,140,0,0
160,293,621,8068,2.9166667,1,5,4,0.45842848,4.520488547,0,0,117,0,16,0,1,1,1
380,63,12058,119114,1.75,5,9,7,0.45842848,4.520488547,0,0,22,0,16,0,57,0,0
217,148,196,7730,2.4166667,9,5,11,0.45842848,4.520488547,1,0,64,0,33,0,1,1,1
55,92,15701,2986,1.8333334,8,5,10,0.45842848,4.520488547,0,0,62,0,5,0,67,1,1
332,343,21413,12458,0.33333334,23,6,23,0.45842848,4.520488547,0,0,16,0,16,0,99,0,0
62,357,23742,10741,3.5,0,6,3,0.45842848,4.520488547,0,0,102,0,16,0,110,1,1
226,366,11630,115270,5.0833335,11,8,16,0.45842848,4.520488547,0,0,125,0,22,0,57,0,0
1,230,11628,129853,0.6666667,3,10,4,0.45842848,4.520488547,0,0,42,0,42,0,57,0,0
217,261,22041,1395,1.5,0,5,2,0.45842848,4.520488547,0,0,62,0,95,0,99,1,1
1,230,11630,128436,0.6666667,9,10,9,0.45842848,4.520488547,1,0,16,0,16,0,57,0,0
393,149,15549,9703,2.0833333,6,6,9,0.45842848,4.520488547,0,0,47,0,90,0,67,1,1
190,63,11630,132322,0.6666667,2,11,2,0.45842848,4.520488547,0,0,0,0,82,0,57,0,0
47,261,6711,3276,1.0833334,12,5,13,0.45842848,4.520488547,0,0,16,0,64,0,37,1,1
47,388,2373,122626,5.25,22,9,4,0.45842848,4.520488547,0,0,16,0,24,0,20,1,0
90,149,425,110445,2.25,2,7,5,0.45842848,4.520488547,0,0,22,0,125,0,1,1,0
332,48,6513,113260,2.4166667,16,8,18,0.45842848,4.520488547,0,0,16,0,64,0,37,1,0
146,360,8494,117483,2.6666667,16,9,19,0.45842848,4.520488547,0,0,95,0,28,0,37,0,0
62,48,9318,2717,2,4,5,6,0.45842848,4.520488547,0,0,28,0,117,0,37,1,0
254,63,9394,93,2.1666667,4,5,6,0.45842848,4.520488547,0,0,22,0,89,0,37,1,1
425,390,11682,10624,1.1666666,12,6,13,0.45842848,4.520488547,0,0,16,0,24,0,57,1,1
320,422,2981,9617,1.9166666,3,6,5,0.45842848,4.520488547,0,0,124,0,47,0,32,1,1
160,323,14492,3998,3.1666667,11,5,15,0.45842848,4.520488547,1,0,16,0,33,0,66,1,1
423,247,1273,9040,2.1666667,14,6,16,0.45842848,4.520488547,0,0,99,0,22,0,6,1,1
62,149,9425,6817,2.1666667,5,5,7,0.45842848,4.520488547,0,0,82,0,82,0,37,1,1
47,55,6125,1880,2,1,5,3,0.45842848,4.520488547,0,0,39,0,20,0,37,0,1
397,225,8575,3074,0.75,0,5,0,0.45842848,4.520488547,0,0,44,0,79,0,37,1,1
370,149,18731,10596,2.3333333,11,6,14,0.45842848,4.520488547,0,0,16,0,64,0,91,1,1
373,297,24280,5129,1.4166666,22,5,0,0.45842848,4.520488547,0,0,16,0,22,0,122,1,0
226,357,11617,129012,1.8333334,6,10,8,0.45842848,4.520488547,0,0,16,0,16,0,57,0,0
368,363,15917,2472,1.1666666,6,5,7,0.45842848,4.520488547,0,0,16,0,103,0,67,0,1
308,163,805,7076,1.1666666,1,5,2,0.45842848,4.520488547,0,0,0,0,72,0,1,1,1
423,222,22001,10181,2.3333333,14,6,16,0.45842848,4.520488547,0,0,62,0,95,0,99,1,1
190,63,11699,124255,0.75,2,10,3,0.45842848,4.520488547,0,0,0,0,62,0,57,0,0
299,344,8253,2098,2.0833333,14,5,16,0.45842848,4.520488547,0,0,16,0,97,0,37,1,1
254,74,25518,2478,2.0833333,6,5,8,0.45842848,4.520488547,0,0,22,0,16,0,140,1,0
1,230,11586,123409,0.6666667,6,9,6,0.45842848,4.520488547,0,0,82,0,82,0,57,0,0
226,363,11730,131208,1.8333334,11,11,13,0.45842848,4.520488547,0,0,82,0,16,0,57,0,0
320,344,3562,7524,1.5,10,5,12,0.45842848,4.520488547,0,0,117,0,16,0,32,1,1
217,417,22082,9297,2.5833333,8,6,10,0.45842848,4.520488547,0,0,64,0,25,0,99,1,1
217,149,360,8833,2.5833333,5,6,7,0.45842848,4.520488547,0,0,62,0,4,0,1,1,1
226,366,11630,119199,5.0833335,11,9,16,0.45842848,4.520488547,0,0,16,0,85,0,57,0,0
27,230,11575,131990,0.5,1,11,1,0.45842848,4.520488547,0,0,24,0,24,0,57,0,0
145,217,17100,4759,1.3333334,7,5,8,0.45842848,4.520488547,0,0,16,0,37,0,76,1,1
414,405,23566,7288,1.5,14,5,15,0.45842848,4.520488547,0,1,44,0,95,0,101,1,1
169,416,19506,4862,0.6666667,23,5,0,0.45842848,4.520488547,0,0,62,0,64,0,99,1,0
144,286,17319,2154,1.0833334,1,5,2,0.45842848,4.520488547,0,0,62,0,20,0,83,1,1
370,63,27096,123048,2.1666667,12,9,14,0.45842848,4.520488547,0,0,16,0,49,0,164,1,0
1,230,11935,127253,0.6666667,11,10,12,0.45842848,4.520488547,0,0,42,0,87,0,57,0,0
27,230,11575,130100,0.5,1,10,1,0.45842848,4.520488547,0,0,87,0,20,0,57,0,0
320,370,20555,6690,1.5,0,5,1,0.45842848,4.520488547,0,0,62,0,97,0,99,1,1
90,55,15694,1150,1.9166666,0,5,2,0.45842848,4.520488547,0,0,62,0,16,0,67,1,1
212,74,184,88703,2,15,3,17,0.45842848,4.520488547,0,1,5,0,42,0,1,1,0
299,63,11774,10822,3.0833333,4,6,7,0.45842848,4.520488547,0,0,118,0,102,0,57,1,1
320,222,21980,7209,3.6666667,8,5,12,0.45842848,4.520488547,0,0,16,0,62,0,99,1,1
226,343,11583,127017,2.4166667,7,10,9,0.45842848,4.520488547,0,0,90,0,82,0,57,0,0
1,230,11937,128466,0.6666667,11,10,12,0.45842848,4.520488547,0,0,16,0,16,0,57,0,0
365,63,23743,10832,3.9166667,4,6,8,0.45842848,4.520488547,0,0,16,0,102,0,110,1,1
226,148,11622,122049,2.0833333,7,9,9,0.45842848,4.520488547,0,0,16,0,16,0,57,0,0
389,139,13212,1753,5.1666665,9,5,14,0.45842848,4.520488547,1,0,90,0,119,0,60,1,1
115,165,17079,7839,1.8333334,1,5,3,0.45842848,4.520488547,0,0,2,0,102,0,76,1,1
62,416,19851,8634,1.3333334,14,6,15,0.45842848,4.520488547,0,0,95,0,49,0,99,1,1
226,139,11587,123642,1.8333334,8,9,10,0.45842848,4.520488547,0,0,82,0,16,0,57,0,0
320,363,3080,781,3.4166667,10,5,13,0.45842848,4.520488547,0,0,64,0,97,0,32,1,1
22,110,17089,8310,1.75,1,6,3,0.45842848,4.520488547,0,0,0,0,0,0,76,1,1
246,222,22369,1893,0.6666667,1,5,2,0.45842848,4.520488547,0,0,62,0,62,0,99,1,1
55,147,8172,112357,1.3333334,17,7,18,0.45842848,4.520488547,0,1,117,0,52,0,37,0,0
370,230,6617,10110,1.9166666,10,6,12,0.45842848,4.520488547,0,0,95,0,90,0,37,1,1
115,323,14414,4017,1.25,14,5,15,0.45842848,4.520488547,1,0,16,0,33,0,66,1,1
62,412,23837,8854,1,6,6,7,0.45842848,4.520488547,0,0,90,0,0,0,116,1,1
144,286,17319,8064,1.0833334,1,5,2,0.45842848,4.520488547,0,0,16,0,62,0,83,1,1
370,139,14959,9447,1.3333334,14,6,16,0.45842848,4.520488547,1,0,16,0,16,0,67,1,1
305,229,23406,85689,5.6666665,10,2,15,0.45842848,4.520488547,0,0,0,0,0,0,100,2,0
